date,location,scrape_date,team_1,team_2,rank_1,rank_2,elo_1,elo_2,elo_diff_1,team_1_w,draw,team_2_w,team_1_odds,draw_odds,team_2_odds
2024-11-15,European League C in Romania,2024-07-06,Romania,Kosovo,45,81,1682,1505,177,0.5538954108858057,0.25933831376734257,0.18676627534685167,1.8053949903660886,3.8559670781893005,5.354285714285714
2024-11-15,European League D in San Marino,2024-07-06,San Marino,Gibraltar,212,180,774,1057,-283,0.1140215716486903,0.23112480739599384,0.6548536209553159,8.77027027027027,4.326666666666667,1.5270588235294118
2024-11-15,CONCACAF League B in Puerto Rico,2024-07-06,Puerto Rico,Aruba,165,189,1148,992,156,0.5538954108858057,0.25933831376734257,0.18676627534685167,1.8053949903660886,3.8559670781893005,5.354285714285714
2024-11-15,CONCACAF League B in Saint Lucia,2024-07-06,Saint Lucia,Grenada,174,175,1084,1083,1,0.376139188069594,0.3115161557580779,0.3123446561723281,2.6585903083700444,3.210106382978723,3.2015915119363396
2024-11-15,CONCACAF League B in Saint Martin,2024-07-06,Saint Martin,Curaçao,194,118,942,1355,-413,0.04,0.18769230769230769,0.7723076923076924,25.0,5.327868852459017,1.294820717131474
2024-11-15,CONCACAF League B in Sint Maarten,2024-07-06,Sint Maarten,Haiti,204,82,855,1502,-647,0.0,0.053763440860215055,0.946236559139785,inf,18.6,1.0568181818181817
2024-11-16,European League A in Germany,2024-07-06,Germany,Bosnia/Herzegovina,10,89,1934,1476,458,0.8354430379746836,0.13924050632911392,0.02531645569620253,1.196969696969697,7.1818181818181825,39.5
2024-11-16,European League A in the Netherlands,2024-07-06,Netherlands,Hungary,7,23,1989,1801,188,0.5538954108858057,0.25933831376734257,0.18676627534685167,1.8053949903660886,3.8559670781893005,5.354285714285714
2024-11-16,European League B in Albania,2024-07-06,Albania,Czechia,55,38,1631,1732,-101,0.2293488824101069,0.2915451895043732,0.47910592808551994,4.360169491525424,3.4299999999999997,2.0872210953346855
2024-11-16,European League B in Georgia,2024-07-06,Georgia,Ukraine,42,19,1704,1816,-112,0.2293488824101069,0.2915451895043732,0.47910592808551994,4.360169491525424,3.4299999999999997,2.0872210953346855
2024-11-16,European League B in Montenegro,2024-07-06,Montenegro,Iceland,71,68,1555,1562,-7,0.3103161397670549,0.3136439267886855,0.37603993344425957,3.222520107238606,3.1883289124668437,2.65929203539823
2024-11-16,European League B in Turkey,2024-07-06,Turkey,Wales,22,44,1805,1684,121,0.47880539499036606,0.28901734104046245,0.2321772639691715,2.0885311871227366,3.4599999999999995,4.3070539419087135
2024-11-16,European League C in Azerbaijan,2024-07-06,Azerbaijan,Estonia,84,113,1493,1371,122,0.47880539499036606,0.28901734104046245,0.2321772639691715,2.0885311871227366,3.4599999999999995,4.3070539419087135
2024-11-16,European League C in Sweden,2024-07-06,Sweden,Slovakia,47,43,1675,1685,-10,0.3103161397670549,0.3136439267886855,0.37603993344425957,3.222520107238606,3.1883289124668437,2.65929203539823
2024-11-16,European League D in Andorra,2024-07-06,Andorra,Moldova,170,120,1110,1350,-240,0.15625,0.23567708333333334,0.6080729166666666,6.4,4.2430939226519335,1.644539614561028
2024-11-16,CONCACAF League B in Bermuda,2024-07-06,Bermuda,Antigua and Barbuda,168,190,1126,988,138,0.47880539499036606,0.28901734104046245,0.2321772639691715,2.0885311871227366,3.4599999999999995,4.3070539419087135
2024-11-16,CONCACAF League B in Dominica,2024-07-06,Dominica,Dominican Republic,186,159,1008,1208,-200,0.1875,0.25646551724137934,0.5560344827586207,5.333333333333333,3.8991596638655457,1.7984496124031009
2024-11-17,European League A in Israel,2024-07-06,Israel,Belgium,66,10,1567,1934,-367,0.07956989247311828,0.16989247311827957,0.7505376344086021,12.567567567567567,5.886075949367089,1.332378223495702
2024-11-17,European League A in Italy,2024-07-06,Italy,France,14,3,1891,2069,-178,0.1875,0.25646551724137934,0.5560344827586207,5.333333333333333,3.8991596638655457,1.7984496124031009
2024-11-17,European League B in Austria,2024-07-06,Austria,Slovenia,15,29,1876,1771,105,0.47880539499036606,0.28901734104046245,0.2321772639691715,2.0885311871227366,3.4599999999999995,4.3070539419087135
2024-11-17,European League B in England,2024-07-06,England,Ireland,8,59,1971,1619,352,0.7521367521367521,0.16666666666666666,0.0811965811965812,1.3295454545454546,6.0,12.31578947368421
2024-11-17,European League B in Finland,2024-07-06,Finland,Greece,57,34,1627,1739,-112,0.2293488824101069,0.2915451895043732,0.47910592808551994,4.360169491525424,3.4299999999999997,2.0872210953346855
2024-11-17,European League B in Norway,2024-07-06,Norway,Kazakhstan,37,92,1734,1453,281,0.6589861751152074,0.22580645161290322,0.1152073732718894,1.5174825174825175,4.428571428571429,8.68
2024-11-17,European League C in Latvia,2024-07-06,Latvia,Armenia,134,90,1321,1462,-141,0.2293488824101069,0.2915451895043732,0.47910592808551994,4.360169491525424,3.4299999999999997,2.0872210953346855
2024-11-17,European League C in North Macedonia,2024-07-06,North Macedonia,Faroe Islands,74,152,1547,1246,301,0.7140319715808171,0.18650088809946713,0.0994671403197158,1.4004975124378107,5.361904761904762,10.053571428571429
2024-11-17,CONCACAF League B in El Salvador,2024-07-06,El Salvador,Montserrat,110,185,1389,1015,374,0.7521367521367521,0.16666666666666666,0.0811965811965812,1.3295454545454546,6.0,12.31578947368421
2024-11-17,CONCACAF League B in St Vincent/Gren,2024-07-06,St Vincent/Gren,Bonaire,178,206,1071,827,244,0.6096605744125326,0.2362924281984334,0.15404699738903394,1.640256959314775,4.232044198895028,6.491525423728814
2024-11-18,European League A in Croatia,2024-07-06,Croatia,Portugal,12,9,1916,1960,-44,0.3103161397670549,0.3136439267886855,0.37603993344425957,3.222520107238606,3.1883289124668437,2.65929203539823
2024-11-18,European League A in Poland,2024-07-06,Poland,Scotland,39,36,1730,1735,-5,0.3103161397670549,0.3136439267886855,0.37603993344425957,3.222520107238606,3.1883289124668437,2.65929203539823
2024-11-18,European League A in Serbia,2024-07-06,Serbia,Denmark,24,19,1789,1816,-27,0.3103161397670549,0.3136439267886855,0.37603993344425957,3.222520107238606,3.1883289124668437,2.65929203539823
2024-11-18,European League A in Spain,2024-07-06,Spain,Switzerland,2,13,2112,1904,208,0.6096605744125326,0.2362924281984334,0.15404699738903394,1.640256959314775,4.232044198895028,6.491525423728814
2024-11-18,European League C in Bulgaria,2024-07-06,Bulgaria,Belarus,85,96,1488,1433,55,0.4188963210702341,0.2842809364548495,0.2968227424749164,2.3872255489021956,3.51764705882353,3.3690140845070418
2024-11-18,European League C in Kosovo,2024-07-06,Kosovo,Lithuania,81,117,1505,1356,149,0.47880539499036606,0.28901734104046245,0.2321772639691715,2.0885311871227366,3.4599999999999995,4.3070539419087135
2024-11-18,European League C in Luxembourg,2024-07-06,Luxembourg,Northern Ireland,79,78,1511,1518,-7,0.3103161397670549,0.3136439267886855,0.37603993344425957,3.222520107238606,3.1883289124668437,2.65929203539823
2024-11-18,European League C in Romania,2024-07-06,Romania,Cyprus,45,138,1682,1315,367,0.7521367521367521,0.16666666666666666,0.0811965811965812,1.3295454545454546,6.0,12.31578947368421
2024-11-18,European League D in Liechtenstein,2024-07-06,Liechtenstein,San Marino,191,212,968,774,194,0.5538954108858057,0.25933831376734257,0.18676627534685167,1.8053949903660886,3.8559670781893005,5.354285714285714
2024-11-18,CONCACAF League B in Aruba,2024-07-06,Aruba,Sint Maarten,189,204,992,855,137,0.47880539499036606,0.28901734104046245,0.2321772639691715,2.0885311871227366,3.4599999999999995,4.3070539419087135
2024-11-18,CONCACAF League B in Curaçao,2024-07-06,Curaçao,Saint Lucia,118,174,1355,1084,271,0.6589861751152074,0.22580645161290322,0.1152073732718894,1.5174825174825175,4.428571428571429,8.68
2024-11-18,CONCACAF League B in Grenada,2024-07-06,Grenada,Saint Martin,175,194,1083,942,141,0.47880539499036606,0.28901734104046245,0.2321772639691715,2.0885311871227366,3.4599999999999995,4.3070539419087135
2024-11-18,CONCACAF League B in Haiti,2024-07-06,Haiti,Puerto Rico,82,165,1502,1148,354,0.7521367521367521,0.16666666666666666,0.0811965811965812,1.3295454545454546,6.0,12.31578947368421
2024-11-19,World Cup qualifier in Bahrain,2024-07-06,Bahrain,Australia,92,27,1453,1774,-321,0.10124333925399645,0.17939609236234458,0.7193605683836589,9.87719298245614,5.574257425742575,1.3901234567901235
2024-11-19,World Cup qualifier in China,2024-07-06,China,Japan,107,17,1396,1856,-460,0.02608695652173913,0.13478260869565217,0.8391304347826087,38.333333333333336,7.419354838709677,1.1917098445595855
2024-11-19,World Cup qualifier in Indonesia,2024-07-06,Indonesia,Saudi Arabia,129,63,1330,1587,-257,0.1140215716486903,0.23112480739599384,0.6548536209553159,8.77027027027027,4.326666666666667,1.5270588235294118
2024-11-19,World Cup qualifier in Kuwait,2024-07-06,Kuwait,Jordan,127,53,1334,1635,-301,0.10124333925399645,0.17939609236234458,0.7193605683836589,9.87719298245614,5.574257425742575,1.3901234567901235
2024-11-19,World Cup qualifier in Kyrgyzstan,2024-07-06,Kyrgyzstan,Iran,145,21,1279,1807,-528,0.041025641025641026,0.06153846153846154,0.8974358974358975,24.375,16.25,1.1142857142857143
2024-11-19,World Cup qualifier in North Korea,2024-07-06,North Korea,Uzbekistan,108,46,1395,1680,-285,0.1140215716486903,0.23112480739599384,0.6548536209553159,8.77027027027027,4.326666666666667,1.5270588235294118
2024-11-19,World Cup qualifier in Oman,2024-07-06,Oman,Iraq,76,51,1529,1660,-131,0.2293488824101069,0.2915451895043732,0.47910592808551994,4.360169491525424,3.4299999999999997,2.0872210953346855
2024-11-19,World Cup qualifier in Palestine,2024-07-06,Palestine,South Korea,103,35,1406,1738,-332,0.10124333925399645,0.17939609236234458,0.7193605683836589,9.87719298245614,5.574257425742575,1.3901234567901235
2024-11-19,World Cup qualifier in UAE,2024-07-06,United Arab Emirates,Qatar,83,55,1501,1631,-130,0.2293488824101069,0.2915451895043732,0.47910592808551994,4.360169491525424,3.4299999999999997,2.0872210953346855
2024-11-19,European League A in Bosnia/Herzeg,2024-07-06,Bosnia/Herzegovina,Netherlands,89,7,1476,1989,-513,0.041025641025641026,0.06153846153846154,0.8974358974358975,24.375,16.25,1.1142857142857143
2024-11-19,European League A in Hungary,2024-07-06,Hungary,Germany,23,10,1801,1934,-133,0.2293488824101069,0.2915451895043732,0.47910592808551994,4.360169491525424,3.4299999999999997,2.0872210953346855
2024-11-19,European League B in Albania,2024-07-06,Albania,Ukraine,55,19,1631,1816,-185,0.1875,0.25646551724137934,0.5560344827586207,5.333333333333333,3.8991596638655457,1.7984496124031009
2024-11-19,European League B in Czechia,2024-07-06,Czechia,Georgia,38,42,1732,1704,28,0.376139188069594,0.3115161557580779,0.3123446561723281,2.6585903083700444,3.210106382978723,3.2015915119363396
2024-11-19,European League B in Montenegro,2024-07-06,Montenegro,Turkey,71,22,1555,1805,-250,0.15625,0.23567708333333334,0.6080729166666666,6.4,4.2430939226519335,1.644539614561028
2024-11-19,European League B in Wales,2024-07-06,Wales,Iceland,44,68,1684,1562,122,0.47880539499036606,0.28901734104046245,0.2321772639691715,2.0885311871227366,3.4599999999999995,4.3070539419087135
2024-11-19,European League C in Slovakia,2024-07-06,Slovakia,Estonia,43,113,1685,1371,314,0.7140319715808171,0.18650088809946713,0.0994671403197158,1.4004975124378107,5.361904761904762,10.053571428571429
