game_id,date,location,team,opp,score,opp_score,old_elo,opp_elo,elo_diff,result_class
2024-06-08SwitzerlandAustria,2024-06-08,Friendly in Switzerland,Austria,Switzerland,1,1,1862,1806,56,D
2024-06-08SwitzerlandAustria,2024-06-08,Friendly in Switzerland,Switzerland,Austria,1,1,1806,1862,-56,D
2024-06-08Trinidad and TobagoBahamas,2024-06-08,World Cup qualifier in Saint Kitts and Nevis,Bahamas,Trinidad and Tobago,1,7,817,1410,-593,T2
2024-06-08Trinidad and TobagoBahamas,2024-06-08,World Cup qualifier in Saint Kitts and Nevis,Trinidad and Tobago,Bahamas,7,1,1410,817,593,T1
2024-06-08United StatesColombia,2024-06-08,Friendly in the United States,United States,Colombia,1,5,1800,1998,-198,T2
2024-06-08United StatesColombia,2024-06-08,Friendly in the United States,Colombia,United States,5,1,1998,1800,198,T1
2024-06-09ArgentinaEcuador,2024-06-09,Friendly in the United States,Argentina,Ecuador,1,0,2139,1873,266,T1
2024-06-09ArgentinaEcuador,2024-06-09,Friendly in the United States,Ecuador,Argentina,0,1,1873,2139,-266,T2
2024-06-09BarbadosHaiti,2024-06-09,World Cup qualifier in Barbados,Haiti,Barbados,3,1,1498,934,564,T1
2024-06-09BarbadosHaiti,2024-06-09,World Cup qualifier in Barbados,Barbados,Haiti,1,3,934,1498,-564,T2
2024-06-09BermudaHonduras,2024-06-09,World Cup qualifier in Bermuda,Honduras,Bermuda,6,1,1498,1141,357,T1
2024-06-09BermudaHonduras,2024-06-09,World Cup qualifier in Bermuda,Bermuda,Honduras,1,6,1141,1498,-357,T2
2024-06-09Democratic Republic of CongoTogo,2024-06-09,World Cup qualifier in the Dem Rep of the Congo,Democratic Republic of Congo,Togo,1,0,1549,1376,173,T1
2024-06-09Democratic Republic of CongoTogo,2024-06-09,World Cup qualifier in the Dem Rep of the Congo,Togo,Democratic Republic of Congo,0,1,1376,1549,-173,T2
2024-06-09DjiboutiEthiopia,2024-06-09,World Cup qualifier in Morocco,Djibouti,Ethiopia,1,1,929,1304,-375,D
2024-06-09DjiboutiEthiopia,2024-06-09,World Cup qualifier in Morocco,Ethiopia,Djibouti,1,1,1304,929,375,D
2024-06-09DominicaJamaica,2024-06-09,World Cup qualifier in Dominica,Dominica,Jamaica,2,3,1010,1640,-630,T2
2024-06-09DominicaJamaica,2024-06-09,World Cup qualifier in Dominica,Jamaica,Dominica,3,2,1640,1010,630,T1
2024-06-09El SalvadorSt Vincent & Grenadines,2024-06-09,World Cup qualifier in Suriname,El Salvador,St Vincent & Grenadines,3,1,1382,1080,302,T1
2024-06-09El SalvadorSt Vincent & Grenadines,2024-06-09,World Cup qualifier in Suriname,St Vincent & Grenadines,El Salvador,1,3,1080,1382,-302,T2
2024-06-09FranceCanada,2024-06-09,Friendly in France,France,Canada,0,0,2086,1712,374,D
2024-06-09FranceCanada,2024-06-09,Friendly in France,Canada,France,0,0,1712,2086,-374,D
2024-06-09GrenadaCosta Rica,2024-06-09,World Cup qualifier in Grenada,Grenada,Costa Rica,0,3,1089,1614,-525,T2
2024-06-09GrenadaCosta Rica,2024-06-09,World Cup qualifier in Grenada,Costa Rica,Grenada,3,0,1614,1089,525,T1
2024-06-09ItalyBosnia and Herzegovina,2024-06-09,Friendly in Italy,Italy,Bosnia and Herzegovina,1,0,1949,1477,472,T1
2024-06-09ItalyBosnia and Herzegovina,2024-06-09,Friendly in Italy,Bosnia and Herzegovina,Italy,0,1,1477,1949,-472,T2
2024-06-09LiberiaSão Tomé and Príncipe,2024-06-09,World Cup qualifier in Morocco,São Tomé and Príncipe,Liberia,0,1,1059,1259,-200,T2
